STATIONID,CRUISEID,Loc_date,DECSLAT,DECELAT,DECSLON,DECELON,Latitude,Longitude,DEPTH_SSTA,WIND_SPD,WIND_DIR,MIN_FISH,TOT_LIVE,FIN_CATCH,CRUS_CATCH,OTHR_CATCH,CLD_COVER,SECCHI_DSK,WECOLOR,DEPTH_EMID,DEPTH_EMAX,DEPTH_EWTR,TEMPSURF,TEMPMID,TEMPMAX,SALSURF,SALMID,SALMAX,CHLORSURF,CHLORMID,CHLORMAX,OXYSURF,OXYMID,OXYMAX,TURBSURF,TURBMID,TURBMAX
235611,1139,6/13/2024,27.378,27.389,-82.725,-82.75,27.3835,-82.7375,11,6,217,30,173.1,,,,75,,,4,7,,30.15,30.15,30.18,35.7,35.7,35.72,,,,5.5,5.6,5.5,,,
235612,1139,6/14/2024,27.115,27.123,-82.725,-82.7,27.119,-82.7125,20.1,8.3,213,30,142,,,,50,,,8.5,16,,30.04,30.04,30.05,36.31,36.31,36.31,,,,5.7,5.8,5.7,,,
235613,1139,6/14/2024,26.931,26.956,-82.819,-82.815,26.9435,-82.817,28.9,3.9,227,30,44.6,,,,,,,15,28,,29.3,29.3,29.31,36.45,36.45,36.46,,,,5.9,5.9,5.9,,,
235614,1139,6/14/2024,26.7,26.675,-82.806,-82.807,26.6875,-82.8065,30.9,6.8,226,30,56.5,,,,,,,,,,,,,,,,,,,,,,,,
235615,1139,6/14/2024,26.678,26.657,-82.637,-82.654,26.6675,-82.6455,25.2,6.8,226,30,193.7,,,,,,,13,25,,29.74,29.74,29.73,36.48,36.48,36.48,,,,5.8,5.8,5.7,,,
235616,1139,6/14/2024,26.911,26.886,-82.671,-82.671,26.8985,-82.671,24.1,6,185,30,53.4,,,,50,7,,11.5,22,,29.87,29.76,29.75,36.39,36.41,36.42,,,,5.9,5.8,5.8,,,
235617,1139,6/14/2024,26.908,26.885,-82.572,-82.56,26.8965,-82.566,19.9,3.6,143,30,239,,,,75,,,8.5,15,,30.43,29.9,29.87,36.12,36.12,36.13,,,,5.9,5.9,5.7,,,
235618,1139,6/14/2024,26.886,26.899,-82.41,-82.434,26.8925,-82.422,10.8,8.1,197,30,58.1,,,,75,5,,4.5,7,,29.95,29.88,29.68,35.34,35.38,35.55,,,,6.1,6.1,6.1,,,
235619,1139,6/14/2024,26.702,26.725,-82.459,-82.448,26.7135,-82.4535,18.7,12.7,207,30,39.5,,,,75,8,,7.5,14,,29.85,29.81,29.66,35.74,35.74,35.8,,,,6,5.9,5.6,,,
235620,1139,6/14/2024,26.495,26.509,-82.289,-82.313,26.502,-82.301,11.5,12.9,196,30,72.8,,,,100,,,6,10,,29.62,29.63,29.63,35.48,35.48,35.48,,,,5.9,5.9,5.9,,,
235621,1139,6/15/2024,26.367,26.382,-82.151,-82.173,26.3745,-82.162,9.9,6,195,30,79.1,,,,100,,,5.5,9,,29.41,29.41,29.41,35.05,35.05,35.05,,,,5.9,5.9,5.8,,,
235622,1139,6/15/2024,26.083,26.084,-82.014,-82.042,26.0835,-82.028,14.1,7.4,275,30,54.5,,,,,,,7,13,,29.29,29.29,29.34,35.7,35.71,35.77,,,,5.6,5.6,5.5,,,
235623,1139,6/15/2024,25.969,25.994,-82.031,-82.034,25.9815,-82.0325,17.2,4.1,179,30,41.1,,,,,,,8,15,,29.01,29.04,29.5,35.66,35.68,36,,,,5.9,5.5,5.2,,,
235624,1139,6/15/2024,25.839,25.864,-82.129,-82.128,25.8515,-82.1285,20.8,8.2,107,30,49.3,,,,,,,10.5,19,,29.2,29.22,29.22,36.2,36.2,36.2,,,,5.7,5.7,5.7,,,
235625,1139,6/15/2024,25.974,25.994,-82.424,-82.44,25.984,-82.432,28.7,11.5,143,30,393.3,,,,100,11,,13,24,,29.1,29.12,29.11,36.34,36.34,36.34,,,,5.8,5.9,5.9,,,
235626,1139,6/15/2024,26.275,26.3,-82.546,-82.552,26.2875,-82.549,25.4,6.1,187,30,133.1,,,,100,19,,13,23,,29.44,29.38,29.38,36.34,36.35,36.35,,,,5.9,5.9,5.8,,,
235627,1139,6/15/2024,26.313,26.337,-82.807,-82.8,26.325,-82.8035,33.3,13.2,225,30,,,,,,,,,,,,,,,,,,,,,,,,,
235628,1139,6/15/2024,26.244,26.268,-82.97,-82.967,26.256,-82.9685,41,9.4,143,30,72.5,,,,100,22,,21,39,,28.82,28.66,26.28,36.33,36.4,36.47,,,,6,6.1,6.2,,,
235629,1139,6/16/2024,26.294,26.299,-83.085,-83.112,26.2965,-83.0985,46.6,7.3,152,30,380.2,,,,100,,,22.5,43,,28.71,27.02,25.8,36.3,36.55,36.48,,,,6,6.5,6.3,,,
235630,1139,6/16/2024,26.023,26.044,-83.216,-83.231,26.0335,-83.2235,53,14.8,130,30,25.1,,,,100,,,26.5,51,,28.89,25.68,24.82,36.44,36.5,36.46,,,,5.9,6.7,6.9,,,
235631,1139,6/16/2024,25.661,25.684,-83.083,-83.093,25.6725,-83.088,55.4,12.2,102,30,134.5,,,,,,,28,55,,28.49,28.29,24.95,36.45,36.46,36.46,,,,5.9,6.1,6.6,,,
235632,1139,6/16/2024,25.295,25.302,-83.034,-83.06,25.2985,-83.047,56.1,9.9,409,30,90.1,,,,100,24,,29.5,57,,28.51,27.31,24.63,36.19,36.49,36.46,,,,5.9,6.3,6.1,,,
235633,1139,6/16/2024,25.178,25.183,-83,-83.027,25.1805,-83.0135,54.3,13,87,30,60.2,,,,100,22,,29,55,,28.38,27.66,24.89,36.02,36.46,36.46,,,,5.9,6.2,6.4,,,
235634,1139,6/16/2024,25.168,25.154,-82.792,-82.814,25.161,-82.803,45,13.4,96,30,84.8,,,,100,27,,19.5,36,,28.3,28.29,26.5,36,36.33,36.51,,,,6,6.1,6.1,,,
235635,1139,6/16/2024,25.228,25.233,-82.696,-82.723,25.2305,-82.7095,41.3,13.1,102,30,60.4,,,,75,25,,19.5,35,,28.29,28.26,27.16,36.01,36.13,36.53,,,,6,6,6,,,
235636,1139,6/16/2024,25.302,25.316,-82.511,-82.534,25.309,-82.5225,33.5,14.4,122,30,87.5,,,,50,21,,16.5,30,,28.75,28.69,28.4,36.25,36.25,36.58,,,,5.9,6,5.8,,,
235637,1139,6/17/2024,25.386,25.407,-82.281,-82.267,25.3965,-82.274,25.6,15,130,30,88.9,,,,75,,,13.5,24,,29.05,29.06,29.06,36.31,36.31,36.33,,,,5.9,6,5.9,,,
235638,1139,6/17/2024,25.341,25.329,-82.104,-82.128,25.335,-82.116,21.9,11.7,104,30,77.8,,,,50,,,11.5,20,,29.08,29.08,29.09,36.45,36.45,36.45,,,,5.9,5.9,6,,,
235639,1139,6/17/2024,25.259,25.261,-81.967,-81.995,25.26,-81.981,20.1,14.9,285,30,179.1,,,,,,,9.5,18,,29.1,29.11,29.11,36.34,36.34,36.34,,,,5.9,5.9,6,,,
235640,1139,6/17/2024,25.214,25.214,-81.883,-81.91,25.214,-81.8965,17.9,9.7,83,30,213,,,,,,,10,17,,29.27,29.28,29.28,36.53,36.53,36.53,,,,5.6,5.6,5.6,,,
235641,1139,6/17/2024,25.344,25.319,-81.903,-81.903,25.3315,-81.903,18.5,10.9,76,30,264.2,,,,,,,9.5,17,,29.17,29.18,29.18,36.4,36.4,36.4,,,,5.8,5.7,5.7,,,
235642,1139,6/17/2024,25.482,25.48,-81.939,-81.966,25.481,-81.9525,18.5,15.8,270,30,48.9,,,,100,7,,9.5,17,,29.13,29.14,29.14,36.35,36.35,36.35,,,,5.9,5.9,5.9,,,
235643,1139,6/17/2024,25.482,25.46,-81.646,-81.66,25.471,-81.653,12.4,12,88,30,187.4,,,,75,9,,6.5,11,,29.29,29.25,29.24,36.46,36.46,36.46,,,,5.8,5.7,5.7,,,
235644,1139,6/17/2024,25.241,25.234,-81.611,-81.638,25.2375,-81.6245,12.1,10,76,30,234.9,,,,75,9,,6.5,11,,29.46,29.44,29.45,36.7,36.7,36.7,,,,5.8,5.8,5.8,,,
235645,1139,6/17/2024,25.021,25.021,-81.754,-81.782,25.021,-81.768,14.4,11.7,88,30,11.1,,,,100,6,,8.5,14,,29.54,29.53,29.53,36.7,36.7,36.7,,,,5.8,5.8,5.8,,,
235646,1139,6/17/2024,25.003,25.005,-81.948,-81.976,25.004,-81.962,19,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
235647,1140,7/26/2024,29.845,29.87,-87.479,-87.479,29.8575,-87.479,33.1,8.7,115,30,1.9,,,,50,18,,16.5,31,,30.9,29.4,26.4,30.65,35.03,36.51,,,,6.7,6.4,5.7,,,
235648,1140,7/27/2024,26.476,26.455,-83.771,-83.757,26.4655,-83.764,78.8,0.6,347,30,48.8,,,,25,29,,39,77,,31.2,28,21,37.2,37.2,37.3,,,,6.5,6.8,6.6,,,
235649,1140,7/28/2024,26.412,26.388,-83.864,-83.856,26.4,-83.86,106.6,4.7,62,30,22.2,,,,25,,,54,107,,31.3,24,18.4,37.3,37.2,37.3,,,,6.4,7.1,6.6,,,
235650,1140,7/28/2024,26.099,26.124,-83.654,-83.653,26.1115,-83.6535,66.8,3,88,30,39.9,,,,,,,34.5,68,,30.5,27.6,22.4,37.23,37.14,37.12,,,,6.5,6.8,6.9,,,
235651,1140,7/28/2024,26.015,25.99,-83.785,-83.782,26.0025,-83.7835,96.2,6.1,104,30,30.9,,,,,,,49.5,98,,30.7,24.5,18.9,37.25,37.17,37.28,,,,6.4,7,6.2,,,
235652,1140,7/28/2024,25.945,25.92,-83.654,-83.654,25.9325,-83.654,72.2,4.2,143,30,53.1,,,,75,,,36.5,72,,30.6,27.9,21.6,37.13,37.16,37.2,,,,6.4,6.7,6.9,,,
235653,1140,7/28/2024,25.821,25.798,-83.702,-83.69,25.8095,-83.696,86,3.7,91,30,13.5,,,,75,38,,44.5,88,,30.6,26.4,20.3,37.08,37.19,37.2,,,,6.5,6.9,6.4,,,
235654,1140,7/28/2024,25.7,25.724,-83.635,-83.638,25.712,-83.6365,76.1,7.5,111,30,17.6,,,,75,37,,39,77,,31,29.3,21.8,37.1,37.2,37.3,,,,6.4,6.6,6.6,,,
235655,1140,7/28/2024,25.554,25.567,-83.695,-83.719,25.5605,-83.707,87.8,7,112,30,123.3,,,,50,48,,43,85,,30.5,29.3,21.1,37,37,37.3,,,,6.4,6.5,6.7,,,
235656,1140,7/28/2024,25.416,25.391,-83.621,-83.621,25.4035,-83.621,75.7,3.9,138,30,9.8,,,,50,50,,39,77,,31.5,29.8,22.3,37.1,37,37.4,,,,6.5,6.5,6.8,,,
235657,1140,7/28/2024,25.325,25.351,-83.698,-83.694,25.338,-83.696,85.8,1.9,65,30,16.9,,,,25,45,,43.5,86,,30.9,29.4,20.6,37,36.9,37.4,,,,6.4,6.5,6.7,,,
