bin_label,date,avw,brightness,Rrs_346.0,Rrs_348.0,Rrs_351.0,Rrs_353.0,Rrs_356.0,Rrs_358.0,Rrs_361.0,Rrs_363.0,Rrs_366.0,Rrs_368.0,Rrs_371.0,Rrs_373.0,Rrs_375.0,Rrs_378.0,Rrs_380.0,Rrs_383.0,Rrs_385.0,Rrs_388.0,Rrs_390.0,Rrs_393.0,Rrs_395.0,Rrs_398.0,Rrs_400.0,Rrs_403.0,Rrs_405.0,Rrs_408.0,Rrs_410.0,Rrs_413.0,Rrs_415.0,Rrs_418.0,Rrs_420.0,Rrs_422.0,Rrs_425.0,Rrs_427.0,Rrs_430.0,Rrs_432.0,Rrs_435.0,Rrs_437.0,Rrs_440.0,Rrs_442.0,Rrs_445.0,Rrs_447.0,Rrs_450.0,Rrs_452.0,Rrs_455.0,Rrs_457.0,Rrs_460.0,Rrs_462.0,Rrs_465.0,Rrs_467.0,Rrs_470.0,Rrs_472.0,Rrs_475.0,Rrs_477.0,Rrs_480.0,Rrs_482.0,Rrs_485.0,Rrs_487.0,Rrs_490.0,Rrs_492.0,Rrs_495.0,Rrs_497.0,Rrs_500.0,Rrs_502.0,Rrs_505.0,Rrs_507.0,Rrs_510.0,Rrs_512.0,Rrs_515.0,Rrs_517.0,Rrs_520.0,Rrs_522.0,Rrs_525.0,Rrs_527.0,Rrs_530.0,Rrs_532.0,Rrs_535.0,Rrs_537.0,Rrs_540.0,Rrs_542.0,Rrs_545.0,Rrs_547.0,Rrs_550.0,Rrs_553.0,Rrs_555.0,Rrs_558.0,Rrs_560.0,Rrs_563.0,Rrs_565.0,Rrs_568.0,Rrs_570.0,Rrs_573.0,Rrs_575.0,Rrs_578.0,Rrs_580.0,Rrs_583.0,Rrs_586.0,Rrs_588.0,Rrs_613.0,Rrs_615.0,Rrs_618.0,Rrs_620.0,Rrs_623.0,Rrs_625.0,Rrs_627.0,Rrs_630.0,Rrs_632.0,Rrs_635.0,Rrs_637.0,Rrs_640.0,Rrs_641.0,Rrs_642.0,Rrs_643.0,Rrs_645.0,Rrs_646.0,Rrs_647.0,Rrs_648.0,Rrs_650.0,Rrs_651.0,Rrs_652.0,Rrs_653.0,Rrs_655.0,Rrs_656.0,Rrs_657.0,Rrs_658.0,Rrs_660.0,Rrs_661.0,Rrs_662.0,Rrs_663.0,Rrs_665.0,Rrs_666.0,Rrs_667.0,Rrs_668.0,Rrs_670.0,Rrs_671.0,Rrs_672.0,Rrs_673.0,Rrs_675.0,Rrs_676.0,Rrs_677.0,Rrs_678.0,Rrs_679.0,Rrs_681.0,Rrs_682.0,Rrs_683.0,Rrs_684.0,Rrs_686.0,Rrs_687.0,Rrs_688.0,Rrs_689.0,Rrs_691.0,Rrs_692.0,Rrs_693.0,Rrs_694.0,Rrs_696.0,Rrs_697.0,Rrs_698.0,Rrs_699.0,Rrs_701.0,Rrs_702.0,Rrs_703.0,Rrs_704.0,Rrs_706.0,Rrs_707.0,Rrs_708.0,Rrs_709.0,Rrs_711.0,Rrs_712.0,Rrs_713.0,Rrs_714.0,Rrs_717.0,Rrs_719.0
0.075-0.125,2024-03-05,467.15042604995307,1.2228237,0.019662,0.01952778,0.019182002,0.018797332,0.018600225,0.018214444,0.017727336,0.017541336,0.017390002,0.017007334,0.016676001,0.016604,0.016132444,0.015524445,0.015302668,0.015236224,0.014902888,0.014582445,0.014208223,0.013886003,0.013776891,0.0135968905,0.013005778,0.012464443,0.012118891,0.011808668,0.011525557,0.011269778,0.011050001,0.010875112,0.01067578,0.010482665,0.010274,0.010096667,0.010109334,0.009993111,0.009682002,0.009432889,0.009297778,0.009123112,0.00893489,0.008817779,0.008616667,0.008424223,0.008307111,0.008205556,0.008110668,0.007970223,0.007814001,0.007688001,0.007551112,0.0074080015,0.007210445,0.0070431116,0.006929556,0.0068044458,0.006736223,0.006730445,0.006529334,0.0062755565,0.006080445,0.0058280006,0.005595779,0.0054480014,0.005238445,0.0048948894,0.0045202225,0.0042082225,0.0040133353,0.0039524455,0.00387489,0.0037680012,0.0036726685,0.0035933347,0.0035015568,0.0033757794,0.0032791127,0.0032020009,0.0031386672,0.0030402238,0.0029384461,0.002831779,0.0026991132,0.0026002228,0.0025140005,0.0024382228,0.002383112,0.0023104448,0.0022408897,0.0021691115,0.0020662227,0.0019288895,0.0018051122,0.0016897792,0.0016168898,0.0015648906,0.0015251123,0.0015151115,0.0008008894,0.00077666715,0.0007495557,0.0007060013,0.0006677794,0.00063733425,0.00056511245,0.0005248905,0.0005740018,0.0006148894,0.0006151121,0.0006022234,0.00061200064,0.0006035562,0.0005991132,0.000610001,0.0006135557,0.0006077782,0.00060377805,0.0005968892,0.0005822235,0.00057822256,0.00056844496,0.0005693345,0.0005795562,0.00057088956,0.0005682235,0.000551778,0.00052933436,0.0005033339,0.00048289035,0.00046311194,0.00045400072,0.00044977997,0.00043822327,0.0004337782,0.00042577833,0.0004244455,0.00042266812,0.00041933483,0.00041711165,0.0004117787,0.00041600026,0.00041644566,0.00034044517,0.00033555678,0.00030911216,0.00022600095,8.77786e-05,-7.644379e-05,-0.00017866616,-0.0001502215,-2.5777354e-05,0.00012466808,0.0002222235,0.00027622283,0.00028977834,0.00029844543,0.00030422336,0.00030311116,0.00031177865,0.00031111142,0.00031577962,0.00032489002,0.0003257783,0.00032422238,0.00031066727,0.00030311197,0.00028866695,0.00028000027,0.00028355626,0.0002688894,0.00016000163,0.0002575562
0.075-0.125,2024-03-13,467.63316501087223,1.3054901,0.01833275,0.018266002,0.01795,0.017623,0.017595,0.01742975,0.01704175,0.016962001,0.016795252,0.016622752,0.01645175,0.016235251,0.015970252,0.015558002,0.015270751,0.01526675,0.015085002,0.01481875,0.014511749,0.014250001,0.01413325,0.0139975,0.01351225,0.012968752,0.012614751,0.012320999,0.012109751,0.011882251,0.0116385,0.011474502,0.0112685,0.0110484995,0.01085225,0.010656251,0.010629751,0.010579001,0.01031775,0.010042501,0.00988825,0.009711751,0.009520501,0.009409001,0.009222001,0.009034751,0.008927502,0.0088055,0.008712251,0.008579001,0.008385501,0.008235501,0.0081107505,0.007973001,0.0077937515,0.0076365015,0.007506501,0.0073315008,0.007198751,0.0071847513,0.0070025004,0.0067240004,0.006521501,0.0062620016,0.0060172505,0.0058425004,0.0055972515,0.0052727507,0.004928501,0.0046,0.004387251,0.004309251,0.0042407503,0.0041437508,0.004020501,0.0039247503,0.003809501,0.0036597508,0.0035455003,0.0034415014,0.0033752504,0.0032745004,0.0031357515,0.0030122516,0.0029040002,0.002797001,0.002684751,0.0025982508,0.0025570006,0.0024865004,0.0024072505,0.0023222505,0.0022302507,0.0021102512,0.0019872505,0.001875001,0.0017772508,0.0016770014,0.0016122512,0.001559501,0.00088400114,0.00086250063,0.00083650136,0.00079600094,0.0007747519,0.0007380005,0.00067000045,0.0006530015,0.00069000106,0.00070425123,0.0006947508,0.0006715013,0.000666501,0.0006592511,0.00065650046,0.0006654998,0.00065825135,0.00064575113,0.00063400157,0.0006192513,0.0006230003,0.0006150007,0.0005975007,0.0005917512,0.000596751,0.0005865004,0.00059275096,0.00058150105,0.000550251,0.0005295016,0.0005027517,0.00048075058,0.00046475092,0.00044725137,0.0004405002,0.00043700077,0.00042925077,0.00042600045,0.00042175082,0.00041525066,0.0004120008,0.00040025078,0.0003852509,0.00037800102,0.0002955012,0.00029400177,0.00028850045,0.00021750061,0.00010775076,-6.9984235e-06,-8.649891e-05,-4.2498577e-05,6.900076e-05,0.00016950071,0.00023125019,0.0002635005,0.00026225066,0.0002682507,0.0002715001,0.0002672514,0.00026550097,0.0002665012,0.0002750014,0.00027975114,0.00028475095,0.00027300091,0.0002710009,0.0002667508,0.00026200106,0.00026625115,0.00025900127,0.00024700025,0.000117001124,0.0002255016
0.075-0.125,2024-03-29,466.3795711298666,1.2566632,0.017666359,0.017350933,0.017088933,0.016918624,0.01681791,0.016601596,0.016294893,0.016254088,0.016137427,0.015953248,0.01578991,0.015703777,0.015393063,0.015021998,0.014888134,0.014838756,0.0146273775,0.014349643,0.014041643,0.013827292,0.013720891,0.013543826,0.0130813345,0.012598669,0.012259512,0.011990535,0.011763691,0.011543914,0.011348935,0.011184846,0.010999291,0.010787289,0.010596624,0.010436534,0.010425202,0.01034889,0.010058178,0.009807824,0.009667377,0.009480711,0.009300001,0.00917338,0.008963068,0.008760444,0.008661644,0.008557958,0.008474534,0.008361513,0.008226755,0.008103023,0.007976089,0.007839379,0.0076846667,0.0075532463,0.0074075116,0.007232313,0.0071088,0.007033334,0.0068259565,0.0065796906,0.0063510253,0.0060871546,0.005836178,0.0056287567,0.005380801,0.0050501795,0.0046848,0.004360446,0.0041430676,0.004055913,0.0039780457,0.0038619118,0.0037723565,0.0036968002,0.0035828007,0.003454756,0.0033496008,0.0032487565,0.0031639119,0.0030760898,0.0029632894,0.0028213342,0.0026897339,0.002582445,0.0024954684,0.002431289,0.0023687114,0.0022930235,0.0022327125,0.002164312,0.0020941347,0.0020005344,0.0018866671,0.0017648453,0.001656268,0.0015485343,0.0014603569,0.0014087568,0.00073697866,0.00071764516,0.0007044451,0.0006854675,0.00065915624,0.00064875657,0.0006308453,0.0006134233,0.00060462346,0.000600445,0.0005867119,0.0005630227,0.000556979,0.0005497786,0.00055560074,0.0005569343,0.00056226744,0.0005538232,0.0005347123,0.00052448944,0.00051524525,0.0005024452,0.00050484494,0.00050426763,0.00050360063,0.00049697864,0.00048693435,0.0004665786,0.00044542327,0.00042524553,0.00040533434,0.0003892006,0.0003769785,0.00036560075,0.00035649,0.00035502308,0.00034964547,0.00034133412,0.0003391564,0.0003303566,0.00032364496,0.00031702296,0.0003116011,0.0003074676,0.00024902314,0.0002462228,0.00023817868,0.00021551193,0.00017528972,0.00013133437,0.00010226741,0.000121245204,0.00016355656,0.00020791193,0.00023115691,0.00022657862,0.00021551186,0.00021275613,0.00022075606,0.0002273346,0.00022920064,0.00022995671,0.00022982342,0.00023115675,0.00022924534,0.00023013428,0.00022640079,0.00021835623,0.00021244545,0.00020702316,0.00020871195,0.0002032895,0.00012924522,0.00019226753
0.075-0.125,2024-04-06,466.6544185594835,1.3795655,0.022034636,0.021624878,0.02121845,0.020938488,0.020780023,0.020409623,0.019855127,0.01963403,0.019396868,0.01906671,0.018760996,0.018556833,0.018098485,0.017520947,0.017267063,0.017200135,0.016876355,0.01644,0.016018627,0.015727788,0.015529426,0.0152040105,0.014636331,0.01410189,0.013708618,0.013363008,0.013052841,0.0127711585,0.012524437,0.012309079,0.012062515,0.011824088,0.011602177,0.011400916,0.011359284,0.011243414,0.01091511,0.010632069,0.010454435,0.010249455,0.010056709,0.009913409,0.0096890265,0.009484589,0.009360812,0.009232001,0.009103585,0.00895459,0.008788923,0.0086255055,0.008473048,0.008323207,0.0081354715,0.007978283,0.007851961,0.007702122,0.007599731,0.007543494,0.007332882,0.0070819263,0.006861889,0.0066061686,0.006371017,0.006180364,0.005932891,0.00560033,0.0052302186,0.004892424,0.004672561,0.004581927,0.0044945916,0.0043708403,0.0042661773,0.004171317,0.0040441453,0.0039085806,0.0037944268,0.0036900935,0.0036061034,0.0035034295,0.003377647,0.0032324877,0.0030902508,0.0029692857,0.0028680419,0.0027890166,0.0027200738,0.0026336897,0.0025457614,0.0024667052,0.002371245,0.0022411202,0.002108125,0.001981245,0.0018679794,0.0017671096,0.0016962395,0.0016619901,0.0008308298,0.0008116587,0.0007869648,0.00075211487,0.000726353,0.00070128584,0.0006538662,0.0006296691,0.0006485605,0.0006551305,0.00064391794,0.0006233378,0.0006181255,0.00061109953,0.00060929626,0.0006175451,0.00062577287,0.00061870576,0.00061029097,0.00059607334,0.00058702717,0.00057409436,0.0005706329,0.00057333725,0.00056871586,0.00055867416,0.0005491097,0.0005260425,0.0005006019,0.00047969,0.0004574415,0.00044189734,0.00043110966,0.0004197936,0.00041136867,0.0004074311,0.00040247737,0.00040067462,0.0003969542,0.00039114073,0.00038499574,0.0003794,0.00037273686,0.00036818744,0.00030211496,0.0002999697,0.000282799,0.0002257212,0.00013610466,2.6757216e-05,-3.917025e-05,-1.2662532e-05,7.525492e-05,0.00017732741,0.00023992843,0.00026261222,0.0002648715,0.0002638142,0.0002683014,0.0002758661,0.0002778973,0.00027692318,0.00027433241,0.00027330653,0.00027311995,0.00027043594,0.00026437396,0.00025653964,0.0002468195,0.00024357614,0.00024599067,0.00024128583,0.00015411495,0.00022741023
0.075-0.125,2024-04-14,462.48407103640517,0.98117447,0.0067785806,0.006976458,0.0071631325,0.0074466523,0.0078037595,0.00798258,0.008000842,0.00824248,0.008485662,0.008676024,0.008859713,0.009057471,0.009059566,0.008964051,0.009090505,0.009351159,0.009444966,0.009443517,0.009420267,0.009462919,0.009611326,0.0096924845,0.009468601,0.00920817,0.009065689,0.0089792535,0.008917903,0.008852265,0.008805063,0.008779615,0.008704171,0.008605084,0.008520193,0.008451377,0.008533278,0.008553808,0.008346796,0.008147421,0.008034891,0.007885882,0.0077247457,0.0076000504,0.0074074706,0.0072690602,0.00724436,0.00722776,0.0072234455,0.0071878317,0.0071184584,0.007043278,0.0069565787,0.0068537113,0.006708602,0.006586724,0.0064811087,0.006339736,0.0062294207,0.0061596395,0.0059437365,0.0056790374,0.005428195,0.0051301215,0.00484605,0.0045947493,0.0043013985,0.0039469404,0.0035636642,0.0032310851,0.0030289171,0.0029608926,0.0029091577,0.0028243384,0.0027593505,0.0026960487,0.0026082422,0.002506218,0.002417205,0.0023418323,0.002273351,0.0021923378,0.0020951575,0.0019919523,0.0018859523,0.0017955432,0.0017239044,0.0016693263,0.0016280254,0.0015749888,0.0015136875,0.001450796,0.0013770612,0.0012777358,0.0011772056,0.0010852055,0.0010057122,0.0009313262,0.0008683867,0.00081441074,0.0003564347,0.00035144662,0.00034503706,0.00032841056,0.0003168925,0.0002954951,0.00026337447,0.00025216964,0.0002762176,0.0002887721,0.00028860327,0.0002804344,0.0002813262,0.00027482037,0.00027002525,0.00026997668,0.00027041047,0.0002589889,0.0002569405,0.00025113358,0.00025383208,0.00025130194,0.00025342274,0.00025739858,0.00025922977,0.00025771168,0.00025766334,0.00024983237,0.00023845866,0.00022544658,0.00021202498,0.00020195275,0.00019751894,0.0001908201,0.00018421789,0.000180507,0.00017689244,0.00017465149,0.00016959128,0.00016563947,0.00015918161,0.0001521457,0.00014718168,0.00014354275,7.8820005e-05,8.048279e-05,6.942271e-05,3.1036965e-05,-3.5444566e-05,-0.00011917994,-0.00017091475,-0.00015580641,-9.958967e-05,-2.484248e-05,2.561532e-05,5.269948e-05,6.6579065e-05,7.123006e-05,7.575988e-05,7.898863e-05,7.624188e-05,7.737442e-05,7.932615e-05,8.089244e-05,8.2844126e-05,8.53262e-05,8.465157e-05,8.556727e-05,8.1976985e-05,8.455534e-05,8.168763e-05,7.37116e-05,1.7735614e-05,0.0001579769
0.075-0.125,2024-04-22,463.63582378678177,1.04043,0.0074868947,0.007680867,0.007859831,0.008107456,0.008445572,0.008616712,0.008626468,0.00885032,0.009067425,0.009242242,0.0094027,0.009573669,0.009591962,0.009525556,0.009633549,0.0098636495,0.009934163,0.009940678,0.009931438,0.009970033,0.010095424,0.010158751,0.009956372,0.00972014,0.009582403,0.009483222,0.009413704,0.009347783,0.009299978,0.009264493,0.00918194,0.00908059,0.008987895,0.008914983,0.00896784,0.008952858,0.008745691,0.008550443,0.008422965,0.008269825,0.008103386,0.00795843,0.0077534406,0.0076055797,0.0075689293,0.0075459727,0.0075366865,0.0075041926,0.007440778,0.0073628873,0.007273462,0.0071694166,0.007020357,0.006890045,0.00677824,0.0066358307,0.006520251,0.0064321365,0.0062098303,0.0059433742,0.005684349,0.0053841877,0.005095961,0.004838228,0.004541746,0.0041797906,0.003782072,0.0034331945,0.0032208862,0.003140483,0.0030802258,0.003000919,0.0029333127,0.0028702298,0.0027843486,0.0026807603,0.0025876518,0.002504297,0.0024322513,0.0023477569,0.002248864,0.002136634,0.0020242676,0.001930327,0.0018577224,0.0018036236,0.001761152,0.0017064803,0.0016486889,0.0015923575,0.0015255158,0.0014335633,0.0013359332,0.0012353807,0.0011384652,0.0010472401,0.0009798849,0.00093397155,0.00043402403,0.00043117875,0.0004235423,0.0004069577,0.00039638145,0.00038294026,0.0003551381,0.00034391257,0.0003641398,0.00037207906,0.00036323565,0.00034801255,0.00034486369,0.00033959284,0.0003371687,0.0003404655,0.00034379648,0.00033502418,0.00033016165,0.00032405142,0.00032225705,0.00031620328,0.0003172699,0.00031978084,0.00031798487,0.00031314863,0.0003088735,0.00029770992,0.00028435246,0.00027011396,0.00025460595,0.00024280994,0.00023613551,0.00022801521,0.0002219212,0.00021766349,0.0002125464,0.00021007904,0.0002047679,0.00020007312,0.0001939255,0.00018751307,0.00018207183,0.00017814692,0.000120065866,0.00012060286,0.000110736095,7.266354e-05,6.8604804e-06,-7.539708e-05,-0.00012871705,-0.00011349411,-5.3184456e-05,2.303994e-05,7.332074e-05,9.7789605e-05,0.00010916004,0.0001136983,0.000118314936,0.00012259852,0.0001222643,0.00012175493,0.00012198932,0.0001229676,0.00012479973,0.00012574342,0.00012432349,0.00012246249,0.00011786351,0.00011849727,0.000118233846,0.00011130335,4.809203e-05,0.00015400967
0.075-0.125,2024-04-30,461.55166764940935,1.005157,0.0065466994,0.006793703,0.0070219687,0.007325058,0.007717405,0.007952243,0.008002475,0.008241457,0.008484997,0.008688555,0.008881273,0.009082931,0.009122123,0.009067977,0.009208885,0.00946773,0.009565423,0.009590281,0.009594929,0.00965946,0.009822057,0.009908387,0.009708239,0.009476084,0.009351834,0.009271275,0.009215297,0.009165623,0.0091336835,0.009115615,0.009048707,0.008956302,0.008875027,0.0088154115,0.008889521,0.008889876,0.008685009,0.008491244,0.008366744,0.008204721,0.008033973,0.007891829,0.0076814624,0.0075318078,0.007496065,0.0074742306,0.007466241,0.0074316054,0.0073669446,0.0072878827,0.0071955794,0.007093645,0.0069528404,0.006830726,0.006718648,0.0065722098,0.006457526,0.0063709766,0.006145064,0.005873138,0.0056041423,0.0052896948,0.0049811816,0.0046854503,0.004352929,0.0039804806,0.0035856569,0.0032443346,0.0030346846,0.0029568335,0.0028991492,0.0028178608,0.0027516827,0.0026902303,0.0026054448,0.0025065506,0.0024172922,0.0023341188,0.0022551303,0.0021646286,0.002064784,0.0019607437,0.0018561691,0.0017671773,0.0016981347,0.0016458454,0.0016033694,0.0015492546,0.0014868884,0.0014229452,0.0013532303,0.0012664152,0.001176527,0.0010847512,0.0009946043,0.0009048922,0.0008215307,0.00073983206,0.0003218608,0.0003182611,0.00031437658,0.00030190672,0.00029459645,0.00028365524,0.000264356,0.0002555706,0.00026416374,0.00026483645,0.00026216864,0.00025353715,0.00025166126,0.00024511386,0.00023936052,0.00023570846,0.00023040405,0.00021641568,0.00021046786,0.00020563642,0.0002067277,0.00020360315,0.00020559996,0.00020857561,0.00021175196,0.00021284053,0.00021415258,0.00020920098,0.00020103925,0.00019125496,0.00018049033,0.00017244165,0.00016826381,0.00016250338,0.00015730603,0.00015422625,0.00015049797,0.00014868093,0.00014391064,0.00013966882,0.00013513761,0.000129746,0.0001257875,0.00012352309,6.9423855e-05,7.0078466e-05,6.451875e-05,4.772416e-05,1.744615e-05,-2.2889264e-05,-4.873138e-05,-4.1396153e-05,-1.5292939e-05,1.7265564e-05,3.6395417e-05,4.2381318e-05,4.6093468e-05,4.7998445e-05,5.0713134e-05,5.2282605e-05,4.9568505e-05,4.982648e-05,5.2148833e-05,5.4416905e-05,5.7161407e-05,5.9345854e-05,5.9473583e-05,6.0912946e-05,5.836802e-05,5.9937207e-05,5.8155165e-05,5.293962e-05,1.2090243e-05,0.00012227036
0.075-0.125,2024-05-08,461.69539666993444,1.0138531,0.005761047,0.006056678,0.006332477,0.006683573,0.0071214633,0.0074041756,0.007498015,0.0077758,0.008053373,0.008290424,0.008514556,0.008743421,0.008813538,0.008792602,0.008956603,0.009248302,0.0093779,0.009432053,0.009466621,0.009558193,0.009744257,0.009855546,0.009679758,0.009469772,0.009367218,0.009305049,0.009267971,0.009232258,0.009210569,0.009200795,0.009137741,0.0090486575,0.00896887,0.008909535,0.008984542,0.008983962,0.008777423,0.008581721,0.008451513,0.00828692,0.0081054,0.007949596,0.0077330903,0.0075782184,0.007540088,0.007518918,0.0075112684,0.007474703,0.007410986,0.0073293275,0.007235598,0.0071340664,0.0069859866,0.006856859,0.006742674,0.0065957764,0.0064783227,0.006392746,0.006166991,0.0058935336,0.0056203026,0.005306093,0.004994532,0.004700118,0.0043703066,0.0039954884,0.003594511,0.0032490334,0.0030419177,0.0029661185,0.0029096878,0.002830135,0.0027652467,0.0027046946,0.0026212165,0.0025223715,0.0024338153,0.0023519485,0.0022751826,0.0021867314,0.0020895866,0.0019826738,0.0018787044,0.0017911855,0.0017219547,0.0016688689,0.0016274404,0.0015734665,0.0015160139,0.0014538724,0.0013863716,0.0012974308,0.001206124,0.0011136688,0.0010252035,0.0009371871,0.00086147455,0.00079357595,0.0003532523,0.00035076833,0.00034464494,0.00033196036,0.0003216076,0.00030614372,0.00027503283,0.00026330352,0.0002814933,0.00029013818,0.00028672945,0.00027519974,0.00027248226,0.0002649967,0.00025747475,0.00025275457,0.0002487663,0.00023631261,0.00023162056,0.00022856364,0.00023157598,0.00022842223,0.00022990114,0.00023329911,0.0002340785,0.00023325275,0.0002345524,0.0002294264,0.00022051971,0.00021176707,0.00019974817,0.0001901058,0.0001859987,0.00017923162,0.00017322658,0.00017032579,0.00016656268,0.00016310428,0.00015886154,0.00015456267,0.0001486186,0.0001433405,0.00013840644,0.00013594118,7.491931e-05,7.521609e-05,6.716916e-05,3.2047e-05,-2.891528e-05,-0.00010452213,-0.00015440607,-0.00014269409,-9.587461e-05,-3.248779e-05,1.1759538e-05,3.604661e-05,4.8064823e-05,5.3226628e-05,5.49401e-05,5.5140812e-05,5.126755e-05,5.0827286e-05,5.288593e-05,5.3597432e-05,5.492381e-05,5.5158453e-05,5.45918e-05,5.666077e-05,5.56172e-05,5.773132e-05,5.5215747e-05,4.765625e-05,4.2271795e-06,0.00013997509
0.075-0.125,2024-05-16,460.6307104807878,1.0270438,0.007826417,0.008047809,0.008251859,0.008527331,0.008889812,0.009097756,0.009109986,0.009291045,0.009486168,0.009661423,0.009821449,0.00998186,0.009975563,0.009884264,0.010004817,0.010225397,0.010264941,0.010256386,0.010252302,0.010306186,0.0104237,0.010458409,0.010244492,0.010015318,0.0098843,0.009787051,0.009710857,0.0096439365,0.009596191,0.009560978,0.009474847,0.009364649,0.0092659285,0.009194321,0.009245472,0.009210629,0.008987641,0.0087847095,0.008636917,0.0084526995,0.00826299,0.008093789,0.007864743,0.00770431,0.0076506804,0.0076087457,0.0075833024,0.0075383973,0.0074670166,0.007376739,0.007270497,0.0071533006,0.007002116,0.0068735774,0.006751354,0.006601712,0.006483937,0.0063873893,0.0061592376,0.005890172,0.005618335,0.0053057447,0.0049953666,0.0046867267,0.004344838,0.003978055,0.003590453,0.003257889,0.0030510526,0.0029700757,0.0029047355,0.0028176315,0.0027497923,0.0026870081,0.0026017453,0.002504826,0.002416141,0.002329119,0.002246099,0.0021522252,0.0020514189,0.0019511214,0.0018490601,0.0017621493,0.0016944732,0.0016411539,0.001595566,0.0015390323,0.0014755833,0.0014121588,0.0013463247,0.0012663286,0.0011828475,0.0010922373,0.0009975794,0.000903387,0.00081525586,0.0007286374,0.00031883342,0.00031269912,0.00030719428,0.00029480876,0.0002894199,0.00028292305,0.00027051006,0.0002626866,0.00026174815,0.00025494592,0.00025083902,0.00024297772,0.00024018857,0.00023359671,0.00022733831,0.00022333377,0.00021764016,0.00020480528,0.00019908689,0.00019420251,0.00019293722,0.00018865445,0.00018924834,0.00019059148,0.00019360059,0.00019418221,0.00019446311,0.00018961645,0.00018259215,0.00017450309,0.00016594,0.00015892218,0.00015511765,0.0001502195,0.00014516016,0.00014233339,0.00013918019,0.000137352,0.00013287483,0.00012847551,0.0001247054,0.00012034174,0.00011721806,0.00011530804,6.887378e-05,6.8664536e-05,6.560549e-05,6.124837e-05,5.1296774e-05,3.602246e-05,2.4273662e-05,2.6435611e-05,3.4918365e-05,4.512302e-05,4.8965725e-05,4.5661975e-05,4.5533216e-05,4.6880847e-05,4.9309496e-05,5.1032726e-05,4.8435562e-05,4.7657773e-05,4.84792e-05,4.975915e-05,5.1422514e-05,5.2733478e-05,5.277865e-05,5.346386e-05,5.092583e-05,5.1720184e-05,5.0336537e-05,4.6488083e-05,1.7767474e-05,0.00011302655
0.075-0.125,2024-05-24,461.5667037493726,1.0714563,0.007279927,0.007488618,0.007716454,0.008034474,0.008448798,0.0087145325,0.008782794,0.009017364,0.009249093,0.0094600255,0.009669118,0.009880333,0.009926142,0.009877408,0.0100239385,0.010281084,0.010366246,0.0103874,0.01040358,0.010477186,0.010619391,0.010676711,0.010486866,0.010271994,0.0101506,0.010067611,0.010008134,0.009955301,0.009921035,0.00989265,0.009809486,0.009700435,0.009601498,0.009530181,0.009576118,0.0095412405,0.009318798,0.009109999,0.008961997,0.008781732,0.008581165,0.008387202,0.008138051,0.007966724,0.007905466,0.007861071,0.007834282,0.0077881715,0.0077139284,0.007626134,0.007525048,0.007410598,0.0072553847,0.0071195243,0.0069961953,0.006845244,0.006723209,0.0066194767,0.006384656,0.006105295,0.0058240946,0.0055000605,0.005185826,0.004887582,0.004552394,0.0041666883,0.0037506025,0.003390068,0.003171207,0.0030853278,0.003020926,0.0029393395,0.0028711078,0.0028099497,0.0027253137,0.0026246952,0.0025314356,0.0024458787,0.002368517,0.0022793787,0.002176462,0.002066121,0.0019535043,0.0018604636,0.0017911623,0.0017391768,0.0016965074,0.0016424258,0.0015830705,0.0015256264,0.0014609798,0.0013761872,0.0012855508,0.0011874421,0.001085536,0.0009881492,0.00091177126,0.0008579317,0.0003917453,0.00038662436,0.00037800634,0.00036290137,0.000356555,0.0003458508,0.00032419173,0.00031322872,0.0003232291,0.00032285418,0.00031567347,0.00030437618,0.0003013706,0.0002948191,0.0002904739,0.0002908364,0.0002905075,0.00028049853,0.00027580094,0.00026987,0.0002677644,0.00026227516,0.00026203884,0.00026262613,0.00026195438,0.00025912185,0.00025623737,0.0002476275,0.00023705246,0.00022477315,0.00021203585,0.00020302612,0.00019733758,0.00019029167,0.0001840182,0.00018029593,0.00017564857,0.000173057,0.0001679297,0.00016332958,0.00015830602,0.00015237082,0.00014799784,0.00014537369,9.229768e-05,9.293309e-05,8.578843e-05,6.0202463e-05,1.7431914e-05,-4.0180195e-05,-7.8339166e-05,-6.945428e-05,-3.040532e-05,2.0743479e-05,5.446687e-05,7.005309e-05,7.8220015e-05,8.139657e-05,8.4841704e-05,8.723257e-05,8.51371e-05,8.460993e-05,8.493528e-05,8.5286076e-05,8.6537126e-05,8.754286e-05,8.57549e-05,8.516725e-05,8.1682956e-05,8.308461e-05,8.228921e-05,7.744501e-05,3.6502213e-05,0.0001488408
