bin_label,date,avw,brightness
0.075-0.125,2024-03-05,474.5635184881547,1.2228237
0.075-0.125,2024-03-13,475.01733174738814,1.3054901
0.075-0.125,2024-03-29,473.45980168569673,1.2566632
0.075-0.125,2024-04-06,473.8270356381208,1.3795655
0.075-0.125,2024-04-14,468.0306489932997,0.98117447
0.075-0.125,2024-04-22,469.576493002134,1.04043
0.075-0.125,2024-04-30,466.8986289998601,1.005157
0.075-0.125,2024-05-08,467.0683906433218,1.0138531
0.075-0.125,2024-05-16,465.9376643320907,1.0270438
0.075-0.125,2024-05-24,467.12427839752667,1.0714563
0.075-0.125,2024-06-01,464.6009724887416,1.0115403
0.075-0.125,2024-06-09,464.7545205109845,1.0380864
0.075-0.125,2024-06-17,464.5401690011135,1.0356483
0.075-0.125,2024-06-25,463.86022057403545,1.0108197
0.075-0.125,2024-07-03,464.387595235967,1.0534681
0.075-0.125,2024-07-11,465.7725388960327,1.0673125
0.075-0.125,2024-07-19,463.1824685718317,0.93610024
0.075-0.125,2024-07-27,465.89586359622905,1.0738994
0.075-0.125,2024-08-04,464.03742204226324,1.0129435
0.075-0.125,2024-08-12,466.2954040566615,1.0765781
0.075-0.125,2024-08-20,463.89604071189177,1.0053047
0.075-0.125,2024-08-28,464.33662947941616,1.0418103
0.075-0.125,2024-09-05,465.54962704478004,1.0185325
0.075-0.125,2024-09-13,465.4130474305581,1.0416529
0.075-0.125,2024-09-21,463.9349681238868,0.9882865
0.075-0.125,2024-09-29,464.18120762767154,1.0048867
0.075-0.125,2024-10-07,463.89247005737906,0.970862
0.075-0.125,2024-10-15,466.4715943612864,0.95090514
0.075-0.125,2024-10-23,465.5269615558517,0.9310985
0.075-0.125,2024-10-31,465.2560263134684,0.91233796
0.075-0.125,2024-11-08,465.5923712410716,1.0074816
0.075-0.125,2024-11-16,469.85932487110597,1.1055752
0.075-0.125,2024-11-24,470.3773588572635,1.242857
0.075-0.125,2024-12-02,472.0033760503874,1.2735457
0.075-0.125,2024-12-10,470.90661936592346,1.2734708
0.075-0.125,2024-12-18,471.9543819535681,1.2290959
0.075-0.125,2024-12-26,471.65003295387703,1.2530295
0.075-0.125,2025-01-01,475.0824529949369,1.4099865
0.075-0.125,2025-01-09,471.34009886945285,1.220181
0.075-0.125,2025-01-17,471.2156952062688,1.3150827
0.075-0.125,2025-01-25,470.83237603307293,1.1454406
0.075-0.125,2025-02-02,468.31966302725897,1.0415859
0.075-0.125,2025-02-10,470.58037705148814,1.177099
0.075-0.125,2025-02-18,472.9490236531228,1.2923551
0.075-0.125,2025-02-26,471.8468611818061,1.2025983
0.075-0.125,2025-03-06,474.0917880834483,1.1130873
0.075-0.125,2025-03-14,470.39829765945177,1.2168434
0.075-0.125,2025-03-30,468.47806831104884,1.0599712
0.075-0.125,2025-04-07,468.71219035960877,1.0246979
0.075-0.125,2025-04-15,468.37591390257785,0.95992243
0.075-0.125,2025-04-23,469.60260529697706,1.0519031
0.475-0.525,2024-03-05,493.95065665462,0.46840274
0.475-0.525,2024-03-13,494.753898763611,0.47736165
0.475-0.525,2024-03-21,497.4405238814762,0.7151234
0.475-0.525,2024-03-29,496.8144846825895,0.5335547
0.475-0.525,2024-04-06,496.14129735612056,0.5094552
0.475-0.525,2024-04-14,494.65112982579853,0.5884997
0.475-0.525,2024-04-22,495.61874674684515,0.51339525
0.475-0.525,2024-04-30,494.2162840282609,0.5329726
0.475-0.525,2024-05-08,494.93655073724653,0.510754
0.475-0.525,2024-05-16,494.6988352476963,0.5453626
0.475-0.525,2024-05-24,494.4671881675308,0.5263973
0.475-0.525,2024-06-01,492.19575383291664,0.55268383
0.475-0.525,2024-06-09,492.14119692315273,0.6000333
0.475-0.525,2024-06-17,490.99037175152637,0.6136558
0.475-0.525,2024-06-25,492.9215945416843,0.5829996
0.475-0.525,2024-07-03,491.4563574775308,0.6285166
0.475-0.525,2024-07-11,491.94225860652193,0.62783045
0.475-0.525,2024-07-19,492.93464620239376,0.58594394
0.475-0.525,2024-07-27,493.723832829445,0.56012994
0.475-0.525,2024-08-04,494.02739377725027,0.53853583
0.475-0.525,2024-08-12,494.3032429777605,0.5410569
0.475-0.525,2024-08-20,493.0746180015257,0.5011108
0.475-0.525,2024-08-28,493.3726008042298,0.49459308
0.475-0.525,2024-09-05,498.78729668883085,0.42864698
0.475-0.525,2024-09-13,496.7917168724419,0.508927
0.475-0.525,2024-09-21,494.3182581338905,0.49232894
0.475-0.525,2024-09-29,497.37094866501064,0.48577738
0.475-0.525,2024-10-07,493.97743062783,0.49138042
0.475-0.525,2024-10-15,496.165638450571,0.45588824
0.475-0.525,2024-10-23,494.8162897753925,0.4643861
0.475-0.525,2024-10-31,494.2685774129147,0.4372452
0.475-0.525,2024-11-08,496.4740106222521,0.43734813
0.475-0.525,2024-11-16,498.3607239073468,0.37661695
0.475-0.525,2024-11-24,497.1871885421029,0.37716037
0.475-0.525,2024-12-02,500.8280584502312,0.41118783
0.475-0.525,2024-12-10,498.3529082074035,0.4378755
0.475-0.525,2024-12-18,495.9855440046091,0.43384263
0.475-0.525,2024-12-26,497.91718396165237,0.3704219
0.475-0.525,2025-01-01,494.68193188976255,0.5400233
0.475-0.525,2025-01-09,496.70727623193983,0.4934227
0.475-0.525,2025-01-17,496.0492186951049,0.45501313
0.475-0.525,2025-01-25,497.28221262111623,0.443251
0.475-0.525,2025-02-02,495.5680063097578,0.4502507
0.475-0.525,2025-02-10,498.94114130144266,0.41922402
0.475-0.525,2025-02-18,497.5515985427906,0.38935262
0.475-0.525,2025-02-26,497.47980247276337,0.42284477
0.475-0.525,2025-03-06,501.329887752783,0.37962604
0.475-0.525,2025-03-14,492.91766189046,0.49182144
0.475-0.525,2025-03-22,497.61004896952215,0.5298969
0.475-0.525,2025-03-30,498.0813683064481,0.58317745
0.475-0.525,2025-04-07,497.94012545093227,0.6115072
0.475-0.525,2025-04-15,498.39276302779126,0.5988514
0.475-0.525,2025-04-23,498.0450847322087,0.572814
0.975-1.025,2024-03-05,516.8652468350023,0.53312516
0.975-1.025,2024-03-13,512.7375399070452,0.5403298
0.975-1.025,2024-03-21,513.1665620817353,0.62260413
0.975-1.025,2024-03-29,512.3632496989319,0.55372024
0.975-1.025,2024-04-06,513.1385440167467,0.45415014
0.975-1.025,2024-04-14,509.62411339811666,0.49396443
0.975-1.025,2024-04-22,508.75146963816997,0.45420477
0.975-1.025,2024-04-30,507.32724306340907,0.45440376
0.975-1.025,2024-05-08,511.92486716708146,0.43954003
0.975-1.025,2024-05-16,507.618948085362,0.46197057
0.975-1.025,2024-05-24,509.4045409875344,0.47107953
0.975-1.025,2024-06-01,506.0710415843355,0.4833584
0.975-1.025,2024-06-09,506.42903609983335,0.5572563
0.975-1.025,2024-06-17,503.33560721699104,0.6185071
0.975-1.025,2024-06-25,507.9718046493497,0.53711843
0.975-1.025,2024-07-03,505.6505654598022,0.6649864
0.975-1.025,2024-07-11,507.00081014737555,0.7272453
0.975-1.025,2024-07-19,509.09132092165765,0.6333973
0.975-1.025,2024-07-27,506.2391969635173,0.6102192
0.975-1.025,2024-08-04,505.00204256182553,0.55163664
